ISIN,SYMBOL,EXDATE,SUBJECT
"INE464A01028","BBL","24-Apr-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE414D01019","BHAGCHEM","02-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share"
"INE617A01013","SEMAC","03-May-2024","Demerger"
"INE00LM01011","SONAMLTD","10-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE476A01014","CANBK","15-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE835A01011","VARDMNPOLY","17-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE899L01030","UEL","22-May-2024","Demerger"
"INE171Z01018","BDL","24-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE075D01018","GMBREW","24-May-2024","Bonus 1:4"
"INE066P01011","INOXWIND","24-May-2024","Bonus 3:1"
"INE480C01012","SDBL","24-May-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE618N01014","BALAXI","30-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE179G01011","DAVANGERE","31-May-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE338I01027","MOTILALOFS","10-Jun-2024","Bonus 3:1"
"INE058A01010","SANOFI","13-Jun-2024","Demerger"
"INE0BTI01029","KAMOPAINTS","14-Jun-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE029A01011","BPCL","21-Jun-2024","Bonus 1:1"
"INE094A01015","HINDPETRO","21-Jun-2024","Bonus 1:2"
"INE863B01011","PREMEXPLN","21-Jun-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE132H01018","AURIONPRO","27-Jun-2024","Bonus 1:1"
"INE932X01018","SHAREINDIA","27-Jun-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE323B01016","AVONMORE","28-Jun-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share"
"INE321D01016","OCCL","01-Jul-2024","Demerger"
"INE274J01014","OIL","02-Jul-2024","Bonus 1:2"
"INE390G01014","GPTINFRA","03-Jul-2024","Bonus 1:1"
"INE474C01015","REMSONSIND","05-Jul-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE188Y01015","VERTOZ","05-Jul-2024","Bonus 1:1"
"INE188Y01015","VERTOZ","05-Jul-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE457L01011","PGEL","10-Jul-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE301A01014","RAYMOND","11-Jul-2024","Demerger"
"INE227C01017","MMFL","16-Jul-2024","Bonus 1:1"
"INE542W01017","KPIGREEN","18-Jul-2024","Face Value Split (Sub-Division) - From Rs10/- Per Share To Rs 5/- Per Share"
"INE205B01023","ELECON","19-Jul-2024","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE326B01027","ALMONDZ","23-Jul-2024","Face Value Split (Sub-Division) - From Rs 6/- Per Share To Re 1/- Per Share"
"INE999A01015","KSB","25-Jul-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE298G01027","AJMERA","02-Aug-2024","Demerger"
"INE01C001018","AARTECH","09-Aug-2024","Bonus 1:2"
"INE01C001018","AARTECH","09-Aug-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE0B1K01014","DJML","09-Aug-2024","Bonus 2:1"
"INE185E01013","FILATFASH","09-Aug-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE542Z01010","KAPSTON","09-Aug-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE573K01017","RUSHIL","09-Aug-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE190H01016","SAKUMA","09-Aug-2024","Bonus 4:1"
"INE137I01015","GRPLTD","12-Aug-2024","Bonus 3:1"
"INE276C01014","EIHAHOTELS","13-Aug-2024","Bonus 1:1"
"INE736A01011","CDSL","23-Aug-2024","Bonus 1:1"
"INE806T01012","SAPPHIRE","05-Sep-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE710A01016","VSTIND","06-Sep-2024","Bonus 10:1"
"INE435A01028","ANDHRAPAP","11-Sep-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE483S01020","CCAVENUE","11-Sep-2024","Demerger"
"INE412U01017","BIGBLOC","12-Sep-2024","Bonus 1:1"
"INE200M01013","VBL","12-Sep-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE967H01017","KIMS","13-Sep-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE903D01011","MONARCH","13-Sep-2024","Bonus 1:1"
"INE885H01011","SPORTKING","13-Sep-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE760W01015","RPPL","17-Sep-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE875G01030","NDL","19-Sep-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE667G01015","SAKSOFT","19-Sep-2024","Bonus 1:4"
"INE02EZ01014","AXITA","20-Sep-2024","Bonus 1:3"
"INE110B01017","MINDTECK","20-Sep-2024","Bonus 1:4"
"INE211B01039","PHOENIXLTD","20-Sep-2024","Bonus 1:1"
"INE320J01015","RITES","20-Sep-2024","Bonus 1:1"
"INE847C01020","ROSSELLIND","20-Sep-2024","Demerger"
"INE899L01030","UEL","20-Sep-2024","Bonus 1:4"
"INE07OG01012","NDRAUTO","25-Sep-2024","Bonus 1:1"
