ISIN,SYMBOL,EXDATE,SUBJECT
"INE192H01020","GRMOVER","24-Dec-2025","Bonus 2:1"
"INE843D01027","DCMSRIND","26-Dec-2025","Demerger"
"INE531F01015","NUVAMA","26-Dec-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE207E01023","RAMRAT","26-Dec-2025","Bonus 1:1"
"INE745G01035","MCX","02-Jan-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE0PPK01015","ORIENTTECH","05-Jan-2026","Bonus 1:10"
"INE411D01015","SKMEGGPROD","12-Jan-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE206F01022","AIIL","13-Jan-2026","Bonus 4:1"
"INE298G01027","AJMERA","14-Jan-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE237A01010","KOTAKBANK","14-Jan-2026","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE052T01013","BESTAGRO","16-Jan-2026","Bonus 1:2"
"INE052T01013","BESTAGRO","16-Jan-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE955D01011","GENUSPOWER","06-Feb-2026","Demerger"
"INE02EZ01014","AXITA","13-Feb-2026","Bonus 1:10"
"INE726L01019","DELPHIFX","13-Feb-2026","Bonus 2:1"
"INE726L01019","DELPHIFX","13-Feb-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE732I01013","ANGELONE","26-Feb-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE344S01016","INFOBEAN","27-Feb-2026","Bonus 3:1"
"INE273D01019","VGL","02-Mar-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE416A01044","AQYLON","05-Mar-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE542Z01010","KAPSTON","06-Mar-2026","Bonus 1:2"
"INE625X01018","SILVERTUC","06-Mar-2026","Bonus 1:1"
"INE625X01018","SILVERTUC","06-Mar-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE509F01011","CUPID","09-Mar-2026","Bonus 4:1"
"INE738I01010","ECLERX","13-Mar-2026","Bonus 1:1"
"INE112L01020","METROPOLIS","20-Mar-2026","Bonus 3:1"
"INE729D01010","KILITCH","24-Mar-2026","Bonus 1:1"
"INE945H01013","V2RETAIL","25-Mar-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE835D01023","HIRECT","27-Mar-2026","Bonus 1:1"
"INE821I01014","IRB","30-Mar-2026","Bonus 1:1"
"INE012Q01021","RNBDENIMS","02-Apr-2026","Bonus 1:2"
"INE012Q01021","RNBDENIMS","02-Apr-2026","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE219Y01018","RMDRIP","10-Apr-2026","Bonus 5:7"
"INE124Y01010","PASHUPATI","17-Apr-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE0Y8W01017","AHCL","24-Apr-2026","Bonus 1:1"
"INE0Y8W01017","AHCL","24-Apr-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE205A01025","VEDL","30-Apr-2026","Demerger"
"INE652Z01017","AVROIND","05-May-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE0G1L01017","LEMERITE","29-May-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE0J1Y01017","LICI","29-May-2026","Bonus 1:1"
"INE463V01026","ANANDRATHI","03-Jun-2026","Bonus 1:1"
"INE849A01012","TRENT","04-Jun-2026","Bonus 1:2"
"INE255Z01019","E2E","05-Jun-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE491A01021","CUB","12-Jun-2026","Bonus 1:3"
"INE791I01019","BRIGADE","17-Jun-2026","Bonus 1:3"
"INE0OPA01019","DBEIL","19-Jun-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE0J0B01017","KOTYARK","24-Jun-2026","Bonus 10:1"
"INE342J01019","ZFCVINDIA","24-Jun-2026","Bonus 5:1"
"INE844O01030","GUJENERGY","02-Jul-2026","Demerger"
"INE506W01012","KRISHANA","03-Jul-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE900L01010","MBAPL","03-Jul-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE025B01017","GOLDIAM","10-Jul-2026","Bonus 1:3"
"INE0JYY01011","MWL","10-Jul-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE063E01046","POCL","21-Jul-2026","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE256C01024","TRIVENI","22-Jul-2026","Demerger"
"INE682M01012","JLHL","24-Jul-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE626Z01011","HARDWYN","28-Jul-2026","Bonus 2:5"
"INE510W01014","INOXGREEN","31-Jul-2026","Demerger"
"INE117Z01011","NARMADA","31-Jul-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE869Y01010","TEMBO","05-Aug-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE811A01020","KIRLPNU","18-Aug-2026","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE127I01024","GOODLUCK","21-Aug-2026","Bonus 2:1"
"INE076B01010","SIYSIL","21-Aug-2026","Scheme Of Arrangement - Bonus Ncrps 3:1"
"INE076B01010","SIYSIL","21-Aug-2026","Scheme Of Arrangement - Bonus Ncrps 4:1"
"INE419M01019","TDPOWERSYS","24-Aug-2026","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE0LZF01013","CORDELIA","25-Aug-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE560A01015","INDIAGLYCO","02-Sep-2026","Demerger"
"INE887D01016","TCC","04-Sep-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE545A01024","HEGAM","07-Sep-2026","Demerger"
"INE105A01035","TVSHLTD","08-Sep-2026","Scheme Of Arrangement - Bonus Ncrps 46:1"
"INE940H01014","PGIL","11-Sep-2026","Bonus 1:1"
"INE524T01011","TAALTECH","22-Sep-2026","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
